Question,Answer,Full_Text
คำขอยกเว้นค่าธรรมเนียมศาล,ผู้ขอต้องแสดงให้ศาลเห็นว่าคดีของผู้ขอมีข้อเท็จจริงเพียงพอที่ศาลจะรับคำฟ้องไว้พิจารณาและผู้ขอไม่มีทรัพย์สินเพียงพอที่จะเสียค่าธรรมเนียมศาลหรือโดยสถานะของผู้ขอถ้าไม่ได้รับการยกเว้นค่าธรรมเนียมศาลจะได้รับความเดือดร้อนเกินสมควร (มาตรา 45/1),"คำถาม: คำขอยกเว้นค่าธรรมเนียมศาล
คำตอบ: ผู้ขอต้องแสดงให้ศาลเห็นว่าคดีของผู้ขอมีข้อเท็จจริงเพียงพอที่ศาลจะรับคำฟ้องไว้พิจารณาและผู้ขอไม่มีทรัพย์สินเพียงพอที่จะเสียค่าธรรมเนียมศาลหรือโดยสถานะของผู้ขอถ้าไม่ได้รับการยกเว้นค่าธรรมเนียมศาลจะได้รับความเดือดร้อนเกินสมควร (มาตรา 45/1)"
การขอให้พิจารณาคำขอยกเว้นค่าธรรมเนียมศาลนั้นใหม่,ยื่นคำร้องต่อศาลปกครองชั้นต้นนั้นภายใน 15 วัน นับแต่วันที่ได้รับคำสั่ง เพื่อขอให้พิจารณาคำขอยกเว้นค่าธรรมเนียมศาลใหม่ เพื่ออนุญาตให้นำพยาน หลักฐานมาแสดงเพิ่มเติมว่าไม่มีทรัพย์สินเพียงพอที่จะเสียค่าธรรมเนียมศาลหรือโดยสถานะถ้าไม่ได้รับการยกเว้นค่าธรรมเนียมศาลจะเดือดร้องเกินสมควร (ข้อ 41/4 วรรคหนึ่ง (1)),"คำถาม: การขอให้พิจารณาคำขอยกเว้นค่าธรรมเนียมศาลนั้นใหม่
คำตอบ: ยื่นคำร้องต่อศาลปกครองชั้นต้นนั้นภายใน 15 วัน นับแต่วันที่ได้รับคำสั่ง เพื่อขอให้พิจารณาคำขอยกเว้นค่าธรรมเนียมศาลใหม่ เพื่ออนุญาตให้นำพยาน หลักฐานมาแสดงเพิ่มเติมว่าไม่มีทรัพย์สินเพียงพอที่จะเสียค่าธรรมเนียมศาลหรือโดยสถานะถ้าไม่ได้รับการยกเว้นค่าธรรมเนียมศาลจะเดือดร้องเกินสมควร (ข้อ 41/4 วรรคหนึ่ง (1))"
การอุทธรณ์คำสั่งเกี่ยวกับคำขอยกเว้นค่าธรรมเนียมศาล,คำสั่งยกคำขอหรือยกเว้นค่าธรรมเนียมศาลบางส่วนผู้ยื่นคำขอมีสิทธิอุทธรณ์ต่อศาลปกครองสูงสุดภายใน 15 วัน นับแต่วันทราบคำสั่ง โดยยื่นคำอุทธรณ์ดังกล่าวต่อศาลปกครองชั้นต้นที่มีคำสั่งนั้น (ข้อ 41/4 วรรคหนึ่ง (2)),"คำถาม: การอุทธรณ์คำสั่งเกี่ยวกับคำขอยกเว้นค่าธรรมเนียมศาล
คำตอบ: คำสั่งยกคำขอหรือยกเว้นค่าธรรมเนียมศาลบางส่วนผู้ยื่นคำขอมีสิทธิอุทธรณ์ต่อศาลปกครองสูงสุดภายใน 15 วัน นับแต่วันทราบคำสั่ง โดยยื่นคำอุทธรณ์ดังกล่าวต่อศาลปกครองชั้นต้นที่มีคำสั่งนั้น (ข้อ 41/4 วรรคหนึ่ง (2))"
การคืนค่าธรรมเนียมศาล,ศาลจะคืนค่าธรรมเนียมศาลในกรณีดังนี้     1. ศาลมีคำสั่งคืนค่าธรรมเนียมศาลทั้งหมดหรือแต่บางส่วนตามส่วนของการชนะคดี (มาตรา 72/1)     2. ในกรณีที่ศาลสั่งไม่รับคำฟ้องไว้พิจารณาทั้งหมดหรือแต่บางส่วนให้ศาลมีอำนาจคืนค่าธรรมเนียมศาลทั้งหมดหรือบางส่วนให้แก่ผู้ฟ้องคดี (ข้อ 38),"คำถาม: การคืนค่าธรรมเนียมศาล
คำตอบ: ศาลจะคืนค่าธรรมเนียมศาลในกรณีดังนี้     1. ศาลมีคำสั่งคืนค่าธรรมเนียมศาลทั้งหมดหรือแต่บางส่วนตามส่วนของการชนะคดี (มาตรา 72/1)     2. ในกรณีที่ศาลสั่งไม่รับคำฟ้องไว้พิจารณาทั้งหมดหรือแต่บางส่วนให้ศาลมีอำนาจคืนค่าธรรมเนียมศาลทั้งหมดหรือบางส่วนให้แก่ผู้ฟ้องคดี (ข้อ 38)"
คำขอให้ทุเลาการบังคับตามกฎหรือคำสั่งทางปกครอง ก่อนการพิพากษา,ผู้ขอต้องแสดงให้เห็นอย่างชัดแจ้งว่าประสงค์ขอทุเลาการบังคับตามกฎหรือคำสั่งใด และหากให้กฎหรือคำสั่งดังกล่าวมีผลบังคับต่อไป จะทำให้เกิดความเสียหายที่ยากแก่การเยียวยาแก้ไขในภายหลังอย่างไร (ข้อ 69),"คำถาม: คำขอให้ทุเลาการบังคับตามกฎหรือคำสั่งทางปกครอง ก่อนการพิพากษา
คำตอบ: ผู้ขอต้องแสดงให้เห็นอย่างชัดแจ้งว่าประสงค์ขอทุเลาการบังคับตามกฎหรือคำสั่งใด และหากให้กฎหรือคำสั่งดังกล่าวมีผลบังคับต่อไป จะทำให้เกิดความเสียหายที่ยากแก่การเยียวยาแก้ไขในภายหลังอย่างไร (ข้อ 69)"
คำขอให้กำหนดมาตรการหรือวิธีการคุ้มครองอย่างใดๆ เพื่อบรรเทาทุกข์ชั่วคราว ก่อนการพิพากษา,คู่กรณีอาจยื่นคำขอเป็นหนังสือให้ศาลมีคำสั่งกำหนดวิธีการ เพื่อคุ้มครองประโยชน์ของผู้ขอในระหว่างการพิจารณาคดีของศาลหรือเพื่อบังคับตามคำพิพากษาได้ (ข้อ 75),"คำถาม: คำขอให้กำหนดมาตรการหรือวิธีการคุ้มครองอย่างใดๆ เพื่อบรรเทาทุกข์ชั่วคราว ก่อนการพิพากษา
คำตอบ: คู่กรณีอาจยื่นคำขอเป็นหนังสือให้ศาลมีคำสั่งกำหนดวิธีการ เพื่อคุ้มครองประโยชน์ของผู้ขอในระหว่างการพิจารณาคดีของศาลหรือเพื่อบังคับตามคำพิพากษาได้ (ข้อ 75)"
การทำคำร้องขอถอนคำฟ้อง,ต้องทำเป็นหนังสือและลงลายมือชื่อผู้ฟ้องคดีโดยระบุเหตุผลที่ประสงค์จะถอนคำฟ้องให้ชัดเจน (ข้อ 82),"คำถาม: การทำคำร้องขอถอนคำฟ้อง
คำตอบ: ต้องทำเป็นหนังสือและลงลายมือชื่อผู้ฟ้องคดีโดยระบุเหตุผลที่ประสงค์จะถอนคำฟ้องให้ชัดเจน (ข้อ 82)"
คำขอให้ศาลพิจารณาหรือฟ้องคดีใหม่ กรณีศาลมีคำสั่งจำหน่ายคดี,ทำเป็นหนังสือแสดงเหตุผลที่ตนไม่สามารถปฏิบัติตามคำสั่งศาลได้ เพราะเหตุสุดวิสัยหรือมีเหตุอันสมควร ยื่นต่อศาลภายในเก้าสิบวันนับแต่วันที่ศาลปกครองมีคำสั่งให้จำหน่ายคดี (มาตรา 62),"คำถาม: คำขอให้ศาลพิจารณาหรือฟ้องคดีใหม่ กรณีศาลมีคำสั่งจำหน่ายคดี
คำตอบ: ทำเป็นหนังสือแสดงเหตุผลที่ตนไม่สามารถปฏิบัติตามคำสั่งศาลได้ เพราะเหตุสุดวิสัยหรือมีเหตุอันสมควร ยื่นต่อศาลภายในเก้าสิบวันนับแต่วันที่ศาลปกครองมีคำสั่งให้จำหน่ายคดี (มาตรา 62)"
ผู้ถูกฟ้องคดีจะยื่นคำร้องขอโอนคดีจากศาลปกครองแห่งหนึ่งไปยังศาลปกครองอื่นได้หรือไม่,ก่อนศาลมีคำพิพากษาหรือคำสั่งชี้ขาดคดี หากผู้ถูกฟ้องคดีเห็นว่าการพิจารณาคดีต่อไปในศาลนั้นจะไม่สะดวกหรือผู้ถูกฟ้องคดีอาจไม่ได้รับความยุติธรรม ผู้ถูกฟ้องคดีอาจยื่นคำขอพร้อมแสดงเหตุผลต่อศาลที่ผู้ฟ้องคดีได้ยื่นคำฟ้องไว้ ขอให้โอนคดีไปยังศาลปกครองอื่นที่มีเขตอำนาจได้ เมื่ออธิบดีศาลปกครองชั้นต้นเห็นสมควรจะมีคำสั่งอนุญาตตามคำขอนั้นก็ได้… (ข้อ 81),"คำถาม: ผู้ถูกฟ้องคดีจะยื่นคำร้องขอโอนคดีจากศาลปกครองแห่งหนึ่งไปยังศาลปกครองอื่นได้หรือไม่
คำตอบ: ก่อนศาลมีคำพิพากษาหรือคำสั่งชี้ขาดคดี หากผู้ถูกฟ้องคดีเห็นว่าการพิจารณาคดีต่อไปในศาลนั้นจะไม่สะดวกหรือผู้ถูกฟ้องคดีอาจไม่ได้รับความยุติธรรม ผู้ถูกฟ้องคดีอาจยื่นคำขอพร้อมแสดงเหตุผลต่อศาลที่ผู้ฟ้องคดีได้ยื่นคำฟ้องไว้ ขอให้โอนคดีไปยังศาลปกครองอื่นที่มีเขตอำนาจได้ เมื่ออธิบดีศาลปกครองชั้นต้นเห็นสมควรจะมีคำสั่งอนุญาตตามคำขอนั้นก็ได้… (ข้อ 81)"
คำขอเข้ามาแทนที่คู่กรณีผู้ถึงแก่ความตาย,ทำเป็นหนังสือแสดงความประสงค์จะเข้าแทนที่คู่กรณีผู้ถึงแก่ความตาย โดยแนบหลักฐานการเป็นทายาท ผู้จัดการมรดก ผู้ปกครองทรัพย์มรดก หรือผู้สืบสิทธิของผู้ตาย และยื่นต่อศาลภายใน 1 ปี นับแต่วันที่คู่กรณีผู้นั้นถึงแก่ความตาย (มาตรา 53),"คำถาม: คำขอเข้ามาแทนที่คู่กรณีผู้ถึงแก่ความตาย
คำตอบ: ทำเป็นหนังสือแสดงความประสงค์จะเข้าแทนที่คู่กรณีผู้ถึงแก่ความตาย โดยแนบหลักฐานการเป็นทายาท ผู้จัดการมรดก ผู้ปกครองทรัพย์มรดก หรือผู้สืบสิทธิของผู้ตาย และยื่นต่อศาลภายใน 1 ปี นับแต่วันที่คู่กรณีผู้นั้นถึงแก่ความตาย (มาตรา 53)"
การฟ้องซ้อน,เมื่อผู้ฟ้องคดียื่นคำฟ้องต่อศาลแล้ว ห้ามมิให้ผู้ฟ้องคดียื่นคำฟ้องเรื่องเดียวกันนั้นต่อศาลเดียวกัน หรือต่อศาลอื่นอีก (ข้อ 36 (1)),"คำถาม: การฟ้องซ้อน
คำตอบ: เมื่อผู้ฟ้องคดียื่นคำฟ้องต่อศาลแล้ว ห้ามมิให้ผู้ฟ้องคดียื่นคำฟ้องเรื่องเดียวกันนั้นต่อศาลเดียวกัน หรือต่อศาลอื่นอีก (ข้อ 36 (1))"
การฟ้องซ้ำ,คดีที่ได้มีคำพิพากษาหรือคำสั่งชี้ขาดถึงที่สุดแล้ว ห้ามมิให้คู่กรณีเดียวกันฟ้องกันอีกในประเด็นที่ได้วินิจฉัยโดยอาศัยเหตุอย่างเดียวกัน (ข้อ 97),"คำถาม: การฟ้องซ้ำ
คำตอบ: คดีที่ได้มีคำพิพากษาหรือคำสั่งชี้ขาดถึงที่สุดแล้ว ห้ามมิให้คู่กรณีเดียวกันฟ้องกันอีกในประเด็นที่ได้วินิจฉัยโดยอาศัยเหตุอย่างเดียวกัน (ข้อ 97)"
ผู้ถูกฟ้องคดีทำคำให้การ,ทำเป็นหนังสือแสดงข้อเท็จจริงและพยานหลักฐานโดยชัดแจ้งถึงการปฏิเสธหรือการยอมรับข้อหาที่ปรากฏในคำฟ้องและคำขอท้ายฟ้องของผู้ฟ้องคดีรวมทั้งเหตุแห่งการนั้น (ข้อ 43),"คำถาม: ผู้ถูกฟ้องคดีทำคำให้การ
คำตอบ: ทำเป็นหนังสือแสดงข้อเท็จจริงและพยานหลักฐานโดยชัดแจ้งถึงการปฏิเสธหรือการยอมรับข้อหาที่ปรากฏในคำฟ้องและคำขอท้ายฟ้องของผู้ฟ้องคดีรวมทั้งเหตุแห่งการนั้น (ข้อ 43)"
ผู้ฟ้องคดีทำคำคัดค้านคำให้การ,ทำเป็นหนังสือแสดงข้อเท็จจริงและพยานหลักฐานโดยชัดแจ้งถึงการยอมรับหรือคัดค้านคำให้การของผู้ถูกฟ้องคดี คำคัดค้านให้มีได้เฉพาะในประเด็นที่ได้ยกขึ้นกล่าวในคำฟ้องคำให้การหรือที่ศาลกำหนด (ข้อ 47),"คำถาม: ผู้ฟ้องคดีทำคำคัดค้านคำให้การ
คำตอบ: ทำเป็นหนังสือแสดงข้อเท็จจริงและพยานหลักฐานโดยชัดแจ้งถึงการยอมรับหรือคัดค้านคำให้การของผู้ถูกฟ้องคดี คำคัดค้านให้มีได้เฉพาะในประเด็นที่ได้ยกขึ้นกล่าวในคำฟ้องคำให้การหรือที่ศาลกำหนด (ข้อ 47)"
ผู้ถูกฟ้องคดีคำให้การเพิ่มเติม,ทำเป็นหนังสือแสดงข้อเท็จจริงและพยานหลักฐานโดยชัดแจ้งถึงการยอมรับหรือการปฏิเสธคำคัดค้านคำให้การของผู้ฟ้องคดี (ข้อ 49),"คำถาม: ผู้ถูกฟ้องคดีคำให้การเพิ่มเติม
คำตอบ: ทำเป็นหนังสือแสดงข้อเท็จจริงและพยานหลักฐานโดยชัดแจ้งถึงการยอมรับหรือการปฏิเสธคำคัดค้านคำให้การของผู้ฟ้องคดี (ข้อ 49)"
คำขอขยายระยะเวลาการดำเนินการตามคำสั่งศาล,ทำเป็นหนังสือระบุเหตุที่ทำให้ไม่สามารถดำเนินการตามคำสั่งศาลได้ภายในระยะเวลาที่กำหนดและประสงค์ขอขยายระยะเวลาโดยระบุระยะเวลาที่ขอขยายให้ชัดเจน เพื่อประโยชน์แห่งความยุติธรรม ศาลมีอำนาจย่นหรือขยายได้ตามความจำเป็น (ข้อ ๖),"คำถาม: คำขอขยายระยะเวลาการดำเนินการตามคำสั่งศาล
คำตอบ: ทำเป็นหนังสือระบุเหตุที่ทำให้ไม่สามารถดำเนินการตามคำสั่งศาลได้ภายในระยะเวลาที่กำหนดและประสงค์ขอขยายระยะเวลาโดยระบุระยะเวลาที่ขอขยายให้ชัดเจน เพื่อประโยชน์แห่งความยุติธรรม ศาลมีอำนาจย่นหรือขยายได้ตามความจำเป็น (ข้อ ๖)"
เมื่อคู่กรณีได้รับหมายแจ้งกำหนดนัดวันนั่งพิจารณาคดีครั้งแรกแล้ว คู่กรณีจำเป็น ต้องมาตามกำหนดนัดหรือไม่,คู่กรณีจะไม่มาศาลก็ได้ แต่ความในข้อนี้ไม่ตัดอำนาจศาลที่จะออกคำสั่งเรียกให้คู่กรณี หน่วยงานทางปกครอง เจ้าหน้าที่ของรัฐหรือบุคคลที่เกี่ยวข้องมาให้ถ้อยคำ ให้ความเห็นเป็นหนังสือ หรือส่งเอกสาร หรือพยานหลักฐานใด ๆ ให้แก่ศาล (ข้อ 84 วรรคสี่),"คำถาม: เมื่อคู่กรณีได้รับหมายแจ้งกำหนดนัดวันนั่งพิจารณาคดีครั้งแรกแล้ว คู่กรณีจำเป็น ต้องมาตามกำหนดนัดหรือไม่
คำตอบ: คู่กรณีจะไม่มาศาลก็ได้ แต่ความในข้อนี้ไม่ตัดอำนาจศาลที่จะออกคำสั่งเรียกให้คู่กรณี หน่วยงานทางปกครอง เจ้าหน้าที่ของรัฐหรือบุคคลที่เกี่ยวข้องมาให้ถ้อยคำ ให้ความเห็นเป็นหนังสือ หรือส่งเอกสาร หรือพยานหลักฐานใด ๆ ให้แก่ศาล (ข้อ 84 วรรคสี่)"
การจัดทำคำอุทธรณ์,ทำเป็นหนังสือต้องระบุชื่อผู้อุทธรณ์ ชื่อผู้ถูกอุทธรณ์ ข้อคัดค้านคำพิพากษาหรือคำสั่งของศาลปกครองชั้นต้น คำขอของผู้อุทธรณ์ และลายมือชื่อผู้อุทธรณ์ (ข้อ ๑๐๑),"คำถาม: การจัดทำคำอุทธรณ์
คำตอบ: ทำเป็นหนังสือต้องระบุชื่อผู้อุทธรณ์ ชื่อผู้ถูกอุทธรณ์ ข้อคัดค้านคำพิพากษาหรือคำสั่งของศาลปกครองชั้นต้น คำขอของผู้อุทธรณ์ และลายมือชื่อผู้อุทธรณ์ (ข้อ ๑๐๑)"
ระยะเวลายื่นคำอุทธรณ์,ให้ยื่นอุทธรณ์ต่อศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่ง ภายใน 30 วัน นับแต่วันที่ได้มีคำพิพากษาหรือคำสั่ง (มาตรา 73 วรรคหนึ่ง),"คำถาม: ระยะเวลายื่นคำอุทธรณ์
คำตอบ: ให้ยื่นอุทธรณ์ต่อศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่ง ภายใน 30 วัน นับแต่วันที่ได้มีคำพิพากษาหรือคำสั่ง (มาตรา 73 วรรคหนึ่ง)"
ผู้มีสิทธิอุทธรณ์คำพิพากษาหรือคำสั่ง,ผู้มีส่วนได้เสียหรือได้รับผลกระทบจากคำพิพากษาหรือคำสั่งของศาลเป็นผู้มีสิทธิอุทธรณ์ ซึ่งได้แก่ ผู้ฟ้องคดี ผู้ถูกฟ้องคดี ผู้มีส่วนได้เสีย ผู้มีสิทธิกระทำการแทน,"คำถาม: ผู้มีสิทธิอุทธรณ์คำพิพากษาหรือคำสั่ง
คำตอบ: ผู้มีส่วนได้เสียหรือได้รับผลกระทบจากคำพิพากษาหรือคำสั่งของศาลเป็นผู้มีสิทธิอุทธรณ์ ซึ่งได้แก่ ผู้ฟ้องคดี ผู้ถูกฟ้องคดี ผู้มีส่วนได้เสีย ผู้มีสิทธิกระทำการแทน"
วิธีการยื่นอุทธรณ์คำพิพากษาหรือคำสั่ง ต่อศาลปกครองสูงสุด,ทำได้ 2 วิธี คือ การยื่นด้วยตนเองต่อเจ้าหน้าที่ของศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่งนั้น หรือการยื่นโดยส่งทางไปรษณีย์ลงทะเบียนไปยังที่ทำการของศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่งนั้น และถือว่าวันที่ส่งคำอุทธรณ์แก่เจ้าพนักงานไปรษณีย์เป็นวันที่ยื่นคำอุทธรณ์ต่อศาล,"คำถาม: วิธีการยื่นอุทธรณ์คำพิพากษาหรือคำสั่ง ต่อศาลปกครองสูงสุด
คำตอบ: ทำได้ 2 วิธี คือ การยื่นด้วยตนเองต่อเจ้าหน้าที่ของศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่งนั้น หรือการยื่นโดยส่งทางไปรษณีย์ลงทะเบียนไปยังที่ทำการของศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่งนั้น และถือว่าวันที่ส่งคำอุทธรณ์แก่เจ้าพนักงานไปรษณีย์เป็นวันที่ยื่นคำอุทธรณ์ต่อศาล"
คำขอให้ศาลพิจารณาพิพากษาคดีหรือ มีคำสั่งชี้ขาดคดีปกครองใหม่ กรณีศาล มีคำพิพากษาหรือคำสั่งชี้ขาดเสร็จเด็ดขาดแล้ว,ทำเป็นหนังสือระบุเหตุผลที่ขอให้ศาลพิจารณาคดีใหม่ เช่น ศาลฟังข้อเท็จจริงผิดพลาด ถูกตัดโอกาสเข้ามาในคดี มีหลักฐานใหม่ เป็นต้น ให้ยื่นคำขอต่อศาลภายใน 90 วัน นับแต่วันรู้เหตุแต่ไม่เกิน 5 ปี นับแต่วันที่ศาลมีคำพิพากษาหรือคำสั่งชี้ขาดคดี (มาตรา 75),"คำถาม: คำขอให้ศาลพิจารณาพิพากษาคดีหรือ มีคำสั่งชี้ขาดคดีปกครองใหม่ กรณีศาล มีคำพิพากษาหรือคำสั่งชี้ขาดเสร็จเด็ดขาดแล้ว
คำตอบ: ทำเป็นหนังสือระบุเหตุผลที่ขอให้ศาลพิจารณาคดีใหม่ เช่น ศาลฟังข้อเท็จจริงผิดพลาด ถูกตัดโอกาสเข้ามาในคดี มีหลักฐานใหม่ เป็นต้น ให้ยื่นคำขอต่อศาลภายใน 90 วัน นับแต่วันรู้เหตุแต่ไม่เกิน 5 ปี นับแต่วันที่ศาลมีคำพิพากษาหรือคำสั่งชี้ขาดคดี (มาตรา 75)"
ศาลปกครองมีอำนาจหน้าที่อย่างไร,ศาลปกครองมีอำนาจพิจารณาพิพากษาคดีปกครองอันเนื่องมาจากการใช้อำนาจทางปกครองตามกฎหมายหรือเนื่องมาจากการดำเนินกิจการทางปกครอง ทั้งนี้ ตามที่กฎหมายบัญญัติ แต่ไม่รวมถึงการวินิจฉัยชี้ขาดขององค์กรอิสระซึ่งเป็นการใช้อำนาจโดยตรงตามรัฐธรรมนูญขององค์กรอิสระนั้นๆ (มาตรา 197 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2560),"คำถาม: ศาลปกครองมีอำนาจหน้าที่อย่างไร
คำตอบ: ศาลปกครองมีอำนาจพิจารณาพิพากษาคดีปกครองอันเนื่องมาจากการใช้อำนาจทางปกครองตามกฎหมายหรือเนื่องมาจากการดำเนินกิจการทางปกครอง ทั้งนี้ ตามที่กฎหมายบัญญัติ แต่ไม่รวมถึงการวินิจฉัยชี้ขาดขององค์กรอิสระซึ่งเป็นการใช้อำนาจโดยตรงตามรัฐธรรมนูญขององค์กรอิสระนั้นๆ (มาตรา 197 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2560)"
ศาลปกครองมีกี่ชั้นศาล,ศาลปกครองมี 2 ชั้นศาล คือ      1. ศาลปกครองสูงสุด      2. ศาลปกครองชั้นต้น ซึ่งแบ่งออกเป็น          2.1 ศาลปกครองกลาง          2.2 ศาลปกครองในภูมิภาค (มาตรา 197 วรรคสอง ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2560),"คำถาม: ศาลปกครองมีกี่ชั้นศาล
คำตอบ: ศาลปกครองมี 2 ชั้นศาล คือ      1. ศาลปกครองสูงสุด      2. ศาลปกครองชั้นต้น ซึ่งแบ่งออกเป็น          2.1 ศาลปกครองกลาง          2.2 ศาลปกครองในภูมิภาค (มาตรา 197 วรรคสอง ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2560)"
เขตอำนาจของศาลปกครองสูงสุดเป็นอย่างไร,ศาลปกครองสูงสุดตั้งอยู่ที่กรุงเทพมหานครมีเขตอำนาจศาลทั่วราชอาณาจักรดังนั้น คดีที่อยู่ในอำนาจของศาลปกครองสูงสุด ไม่ว่ามูลคดีจะเกิดที่ใด หรือผู้ฟ้องคดีมีภูมิลำเนาอยู่ที่ใดจะต้องยื่นฟ้องคดีต่อศาลปกครองสูงสุด (มาตรา 8 วรรคหนึ่ง แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542),"คำถาม: เขตอำนาจของศาลปกครองสูงสุดเป็นอย่างไร
คำตอบ: ศาลปกครองสูงสุดตั้งอยู่ที่กรุงเทพมหานครมีเขตอำนาจศาลทั่วราชอาณาจักรดังนั้น คดีที่อยู่ในอำนาจของศาลปกครองสูงสุด ไม่ว่ามูลคดีจะเกิดที่ใด หรือผู้ฟ้องคดีมีภูมิลำเนาอยู่ที่ใดจะต้องยื่นฟ้องคดีต่อศาลปกครองสูงสุด (มาตรา 8 วรรคหนึ่ง แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542)"
การยื่นคำฟ้องต่อศาลปกครองสูงสุดต้องดำเนินการอย่างไร,๑. ยื่นฟ้องคดีต่อศาลปกครองสูงสุดโดยตรง โดยยื่นต่อพนักงานเจ้าหน้าที่ของศาลปกครองสูงสุด ณ อาคารที่ทำการศาลปกครอง กรุงเทพมหานคร หรือ ๒. ยื่นคำฟ้องโดยส่งทางไปรษณีย์ลงทะเบียนไปยังสำนักงานศาลปกครองสูงสุด เลขที่ ๑๒๐ หมู่ที่ ๓ ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร ๑๐๒๑๐ (มาตรา ๔๖ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒),"คำถาม: การยื่นคำฟ้องต่อศาลปกครองสูงสุดต้องดำเนินการอย่างไร
คำตอบ: ๑. ยื่นฟ้องคดีต่อศาลปกครองสูงสุดโดยตรง โดยยื่นต่อพนักงานเจ้าหน้าที่ของศาลปกครองสูงสุด ณ อาคารที่ทำการศาลปกครอง กรุงเทพมหานคร หรือ ๒. ยื่นคำฟ้องโดยส่งทางไปรษณีย์ลงทะเบียนไปยังสำนักงานศาลปกครองสูงสุด เลขที่ ๑๒๐ หมู่ที่ ๓ ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร ๑๐๒๑๐ (มาตรา ๔๖ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒)"
บุคคลใดบ้างที่มีสิทธิฟ้องคดีต่อศาลปกครอง,ผู้ฟ้องคดีจะต้องเป็นผู้ที่ได้รับความเดือดร้อนหรือเสียหาย หรืออาจจะเดือดร้อนหรือเสียหายโดยมิอาจหลีกเลี่ยงได้ อันเนื่องจากการกระทำหรืองดเว้นการกระทำอย่างหนึ่งอย่างใดของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ หรือมีข้อโต้แย้งเกี่ยวกับสัญญาทางปกครอง หรือกรณีอื่นใดที่อยู่ในเขตอำนาจของศาลปกครอง และการแก้ไขหรือบรรเทาความเดือดร้อนหรือความเสียหายหรือยุติข้อโต้แย้งนั้นศาลต้องมีคำบังคับ (มาตรา ๔๒ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒),"คำถาม: บุคคลใดบ้างที่มีสิทธิฟ้องคดีต่อศาลปกครอง
คำตอบ: ผู้ฟ้องคดีจะต้องเป็นผู้ที่ได้รับความเดือดร้อนหรือเสียหาย หรืออาจจะเดือดร้อนหรือเสียหายโดยมิอาจหลีกเลี่ยงได้ อันเนื่องจากการกระทำหรืองดเว้นการกระทำอย่างหนึ่งอย่างใดของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ หรือมีข้อโต้แย้งเกี่ยวกับสัญญาทางปกครอง หรือกรณีอื่นใดที่อยู่ในเขตอำนาจของศาลปกครอง และการแก้ไขหรือบรรเทาความเดือดร้อนหรือความเสียหายหรือยุติข้อโต้แย้งนั้นศาลต้องมีคำบังคับ (มาตรา ๔๒ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒)"
