วันและเวลา ที่ให้คำปรึกษาแนะนำ,วิธีขอรับคำปรึกษา,สถานะของผู้ขอคำปรึกษา,อาชีพ,ภูมิลำเนา (จังหวัดอื่นโปรดระบุช่องอื่นๆ),ประเภทของคดีที่ให้คำปรึกษา,คดีตามมาตรา,ประเด็นที่ขอคำปรึกษา (เลือกได้หลายช่อง),ข้อเท็จจริง/ประเด็นที่ขอคำปรึกษาแนะนำ ,ผลการให้คำปรึกษาแนะนำ
2024-10-02 09:08:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,"ขอความเห็นทางกฎหมาย, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ผู้ขอคำปรึกษาเป็นผู้ฟ้องคดีต่อศาลปกครอง ปัจจุบันอยู่ในระหว่างขั้นตอนการแสวงหาข้อเท็จจริง ขอสอบถามระยะเวลาในการทำคำให้การยื่นต่อศาล,ข้อ ๔๒ วรรคหนึ่งแห่งระเบียบของที่ประชุมใหญ่ฯว่าด้วยวิธีพิจารณาคดีปกครองฯ กำหนดว่า  เมื่อตุลาการเจ้าของสำนวนเห็นว่าคำฟ้องใดเป็นคำฟ้องที่สมบูรณ์ครบถ้วนให้มีคำสั่งรับคำฟ้องและมีคำสั่งให้ผู้ถูกฟ้องคดีทำคำให้การ โดยส่งสำเนาคำฟ้องและสำเนาพยานหลักฐานไปด้วย ในกรณีที่เห็นสมควร จะกำหนดประเด็นที่ผู้ถูกฟ้องคดีต้องให้การ หรือให้จัดส่งพยานหลักฐานที่เกี่ยวข้องหรือที่จะเป็นประโยชน์แก่การพิจารณาของศาลด้วยก็ได้ เว้นแต่เป็นกรณีที่กำหนดไว้ในข้อ ๖๑  ดังนั้นเมื่อศาลรับคำฟ้องแล้วจะเข้าสู้กระบวนกราแสวงหาข้อเท็จจริงที่ศาลจะยื่นคำให้การแก้คำฟ้อง เมื่อมีการคำให้การแล้ว ศาลจะส่งสำเนาคำให้การไปยังผู้ฟ้องคดีเพื่อทำคำคัดค้านคำให้การต่อศาล เมื่อได้รับคำคัดค้านคำให้การแล้ว ศาลจะส่งสำเนาคำคัดค้านคำให้การให้ผู้ฟ้องคดีเพื่อทำคำให้การเพิ่มเติมยื่นต่อศาล จากนั้นศาลจะส่งสำเนาคำให้การเพิ่มเติมให้กับผู้ฟ้องคดีเพื่อทราบ
2025-01-16 15:58:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,อื่นๆ,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ผู้ขอคำปรึกษาเป็นฝ่ายผู้ฟ้องคดีสอบถามว่า กรณีที่ศาลส่งสำเนาคำให้การของผู้ถูกฟ้องคดีมาเพื่อทราบ โดยไม่ได้กำหนดให้ผู้ฟ้องคดีต้องดำเนินการอะไร หากผู้ฟ้องคดีมีความประสงค์จะทำคำคัดค้านคำให้การดังกล่าวได้หรือไม่,ได้ให้คำแนะนำว่า กรณีที่ศาลส่งสำเนาคำให้การของผู้ถูกฟ้องคดีให้ผู้ฟ้องคดีทราบ โดยไม่ได้กำหนดให้ผู้ฟ้องคดีต้องดำเนินการและไม่ได้กำหนดระยะเวลาไว้ จึงเป็นกรณีที่ศาลเห็นว่าสามารถจะวินิจฉัยชี้ขาดคดีดังกล่าวได้ โดยไม่ต้องดำเนินการแสวงหาข้อเท็จจริงอีก ตามข้อ 61 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 อย่างไรก็ตาม กรณีดังกล่าวไม่เป็นการตัดสิทธิในการที่ผู้ฟ้องคดีจะทำคัดค้านคำให้การยื่นต่อศาล รวมทั้งหากผู้ฟ้องคดีมีข้อเท็จจริงที่จะชี้แจงต่อศาลเพิ่มเติม ก็อาจจัดทำคำแถลงยื่นต่อศาลได้ก่อนวันสิ้นสุดการแสวงหาข้อเท็จจริงของศาล ตามข้อ 62 วรรคสาม แห่งระเบียบฉบับเดียวกัน
2024-10-02 14:14:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ธุรกิจส่วนตัว/ค้าขาย/รับจ้าง,ไม่ทราบ / ไม่แจ้ง,การสาธารณสุข,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง","ผู้ขอคำปรึกษาเป็นคู่สัญญากับสำนักงานหลักประกันสุขภาพแห่งชาติ ""สปสช."" ในการให้บริการสาธารณสุขได้รับความเดือดร้อนเสียหายจากการที่สปสชหัก/ไม่จ่ายเงินค่าให้บริการที่ผู้ขอคำปรึกษามีสิทธิจะได้รับโดยไม่ถูกต้อง จึงขอคำปรึกษาในการยื่นฟ้องคดีต่อศาลปกครอง","กรณีที่ผู้ขอคำปรึกษาเข้าทำสัญญากับสำนักงานหลักประกันสุขภาพแห่งชาติ ""สปสช."" ในการให้บริการสาธารณสุขกับประชาชนนั้นมีลักษณะให้บุคคลเข้าจัดทำบริการสาธารณะมีลักษณะเป็นสัญญาทางปกครองตามนิยามที่กำหนดไว้ในพ.ร.บ.จัดตั้งศาลปกครองฯ  กรณีที่มีข้อพิพาทเกี่ยวกับการหัก/ไม่จ่ายเงินค่าให้บริการ และมีความประสงค์ฟ้องเรียกเงินจำนวนดังกล่าวนั้นเป็นคดีพิพาทเกี่ยวกับสัญญาทางปกครองตามมาตรา 9 วรรคหนึ่ง (4) แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ  ผู้ขอคำปรึกษาจะต้องใช้สิทธิฟ้องคดีต่อศาลปกครองตามมาตรา 51 แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ  การจัดทำคำฟ้องตามมาตรา 45 แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ ผู็ฟ้องคดีจะต้องกำหนดสำนักงานหลักประกันสุขภาพแห่งชาติ ""สปสช.""ซึ่งเป็นคู่สัญญาเป็นผู้ถูกฟ้องคดี บรรยายข้อเท็จจริงที่เกิดขึ้นเพื่อโต้แย้งว่า การหักเงินหรือการจ่ายเงินไม่ถูกต้องตามสัญญาอย่าง และกำหนดคำขอท้ายคำฟ้องขอให้จ่าเงินที่ผู้ฟ้องคดีมีสิทธิตามสัญญาเป็นเงินจำนวนทั้งสิ้นกี่บาท ซึ่งเป็นคำขอที่ศาลสามารถออกคำบังคับได้ตามมาตรา 72 วรรคหนึ่ง (3) แห่งพ.ร.บ.จััดตั้งศาลปกครองฯ"
2024-10-02 14:40:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,ยกเว้นค่าธรรมเนียมศาล,ขอสอบถามเกี่ยวกับการเว้นค่าธรรมเนียมศาล,การฟ้องคดีไม่ต้องเสียค่าธรรมเนียมศาล เว้นแต่การฟ้องคดีขอให้สั่งให้ใช้เงินหรือส่งมอบทรัพย์สินอันสืบเนื่องจากคดีตามมาตรา ๙ วรรคหนึ่ง (๓) หรือ (๔) ให้เสียค่าธรรมเนียมศาลตามทุนทรัพย์ในอัตราตามที่ระบุไว้ในตาราง ๑ ท้ายประมวลกฎหมายวิธีพิจารณาความตามมาตรา ๔๕ วรรคสี่แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ  การชำระค่าธรรมเนียมศาลถือเป็นเงื่อนไขในการรับคำฟ้อง หากผู้ขอคำปรึกษายังไม่สามารถชำระค่าธรรมเนียมศาลได้ให้ยื่นคำขอผลัดส่งค่าธรรมเนียมศาล โดยชี้แจงเหตุผลความจำเป็นที่ไม่อาจชำระค่าธรรมเนียมศาลภายในระยะเวลาที่กำหนดได้ โดยขอผลัดส่งค่าธรรมเนียมศาลออกไปอีก..วันนับแต่วันครบกำหนดเดิม อย่างไรก็ดี หากไม่สามารถเสียค่าธรรมเนียมศาลได้ ให้ยื่นคำขอยกเว้นค่าธรรมเนียมศาล โดยอธิบายเหตุผลว่า ไม่มีทรัพย์สินเพียงพอที่จะเสียค่าธรรมเนียมศาลหรือโดยสถานะของผู้ขอถ้าไม่ได้รับยกเว้นค่าธรรมเนียมศาลจะได้รับความเดือดร้อนเกินสมควรก็ให้ศาลปกครองชั้นต้นอนุญาตให้คู่กรณีที่ยื่นคำขอดำเนินคดีโดยยกเว้นค่าธรรมเนียมศาลทั้งหมดหรือเฉพาะบางส่วน หากเห็นว่าไม่มีเหตุตามคำขอจริง ให้ศาลมีคำสั่งยกคำขอนั้นเสีย คำสั่งให้ยกเว้นค่าธรรมเนียมศาลทั้งหมดให้เป็นที่สุด  การยื่นเอกสารเช่น สมุดบัญชีเงินฝากธนาคาร บิลหรือเอกสารเรียกเก็บเงิน บัญชีซึ่งเป็นการบะรุรายได้และรายจ่ายของผู้ฟ้องคดีในแต่ละเดือน
2024-10-02 15:03:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,มาตรา 9 วรรค 1 (1) คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ กระทำการโดยไม่ชอบด้วยกฎหมาย,กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง,ผู้ขอคำปรึกษามีความประสงค์จะร้องสอดเข้ามาเป็นคู่ความร่วมฝ่ายผู้ฟ้องคดีนั้นจะต้องทำอย่างไร,การร้องสอดโดยการขอเข้ามาในคดีตามมาตรา ๑๑ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒ สามารถฟ้องต่อศาลปกครองสูงสุดโดยตรงได้ก่อนศาลปกครองสูงสุดมีคำพิพากษาหรือมีคำสั่งชี้ขาดคดี อนึ่ง การอนุญาตให้ร้องสอดเข้ามาในคดีเป็นดุลพินิจของศาลที่จะอนุญาตหรือไม่และการร้องสอดเข้ามาในคดีเป็นสิทธิของบุคคลภายนอก เพราะหากบุคคลภายนอกไม่ร้องสอดเข้ามาในคดีอาจเสียประโยชน์ของตนเมื่อศาลปกครองมีคำพิพากษา ดังนั้น ผู้ขอคำปรึกษาจึงมีสิทธิยื่นคำขอร้องสอดเข้ามาเป็นหนังสือโดอธิยานว่าผู้ขอคำปรึกษาเป็นผู้เดือดร้อนเสียหายผู้ถูกฟ้องคดีของศาลปกครองกลางคดีหมายเลขดำที่ …../….. จากการกระทำดังกล่าว ผู้ฟ้องคดีเห็นว่าการออกคำสั่งให้ผู้ร้องสอดไม่ชอบด้วยกฎหมายเนื่องจากอะไร จึงขอร้องสอดเข้ามาเป็นคู่ความในคดีเพื่อประโยชน์แห่งความยุติธรรม
2024-10-03 08:45:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,ขอความเห็นทางกฎหมาย,ผู้ฟ้องคดีมีความประสงค์ในการฟ้องคดีต่อศาลปกครองเป็นคดีพิพาทพาทเกี่ยวกับการที่เจ้าหน้าที่ของรัฐละลเยการปฏิบัติหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติ  ขอสอบถามว่า หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐจะฟ้องกลับผู้ฟ้องคดีหรือไม่,คดีปกครองเป็นคดีที่บุคคลได้รับความเดือดร้อนหรือเสียหาย หรืออาจจะเดือดร้อนหรือเสียหายโดยมิอาจหลีกเลี่ยงได้อันเนื่องจากการกระทำหรือการงดเว้นการกระทำของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐหรือมีข้อโต้แย้งเกี่ยวกับสัญญาทางปกครอง หรือกรณีอื่นใดที่อยู่ในเขตอำนาจศาลปกครองตามมาตรา ๙ และการแก้ไขหรือบรรเทาความเดือดร้อนหรือความเสียหายหรือยุติข้อโต้แย้งนั้น ต้องมีคำบังคับตามที่กำหนดในมาตรา ๗๒ ผู้นั้นมีสิทธิฟ้องคดีต่อศาลปกครองและต้อเป็นคดีที่อยู่ในอำนาจการพิจารณาคดีของศาลปกครองตามมาตรา ๙ วรรคหนึ่งแห่งพ.ร.บ.จัดตั้งศาลปกครองฯ การฟ้องคดีต่อศาลปกครองเป็นการฟ้องขอให้ศาลปกครองตรวจสอบความชอบด้วยกฎหมายของการกระทำทางปกครอง ซึ่งกำหนดตัวหน่วยงานทางปกครองหรือตำแน่งเจ้าหน้าที่ของรัฐ และกำหนดปฏิบัติตามคำบังคับในคดี หรือศาลพิพากษายกฟ้อง ซึ่งแตกต่างจากคดีแพ่งเที่ฟ้องเจ้าหน้าที่ผู้ทำละเมิดหรือฟ้องคดีอาญากล่าวหาว่าบุคคลกระทำความผิดกฎหมายอาญาที่มุ่งประสงค์ฟ้องให้บุคคลต้องรับผิด ดังนั้น หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐจึงไม่อาจฟ้องกลับผู้ฟ้องคดีได้ 
2025-01-16 08:57:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,อื่นๆ,ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง,ผู้ขอคำปรึกษาสอบถามว่า กรณีที่มีการฟ้องร้องคดีกันแล้ว ซึ่งตนไม่ได้เป็นคู่กรณีในคดีนั้นด้วย แต่เห็นว่าเป็นผู้มีส่วนได้เสียในคดี จะสามารถดำเนินการอย่างไรได้บ้าง,ได้ให้คำแนะนำว่า กรณีที่ผู้ขอคำปรึกษาเห็นว่าตนเป็นผู้มีส่วนได้เสียตามกฎหมายในผลแห่งคดี แม้ว่าจะมิใช่คู่กรณีก็อาจเข้ามาเป็นคู่กรณีได้ด้วยการร้องสอด ตามข้อ 78 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 ประกอบมาตรา 57 วรรคหนึ่ง (2) แห่งประมวลกฎหมายวิธีพิจารณาความแพ่ง ทั้งนี้ ให้ผู้ขอคำปรึกษายื่นคําร้องขอเข้ามาเป็นผู้ร้องสอดต่อศาลพร้อมแสดงเหตุผลประกอบ โดยยื่นต่อศาลก่อนที่ศาลจะมีคําพิพากษา 
2025-01-02 13:10:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),ผู้ฟ้องคดี,ไม่ระบุ,,,,วิธีการชั่วคราวก่อนการพิพากษา,      ผุ้ขอคำปรึกษาได้ขอวิธีการชั่วคราวก่อนการพิพากษา   บรรเทาทุกข์ชั่วคราว ศาลมีคำสั่งยกคำขอ จึงมาปรึกษาจะอุทธรณ์คำสั่งยกคำขอ,"      แนะนำว่า  โดยที่ระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุดว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๓ ข้อ ๗๖ วรรคสอง กำหนดว่า คำสั่งไม่รับหรือยกคำขอของผู้ฟ้องคดีหรือคู่กรณีให้เป็นที่สุด
      ดังนั้น เมื่อคำของเกี่ยวกับคุ้มครองชั่วคราวศาลมีคำสั่งยกคำขอจึงเป็นที่สุด อุทธรณ์ไม่ได้"
2025-01-17 09:30:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,อื่นๆ,ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง,ผู้ขอคำปรึกษาสอบถามว่า กรณีที่ศาลปกครองสูงสุดมีคำพิพากษาแล้ว จะสามารถขอให้ศาลพิจารณาคดีใหม่ได้หรือไม่,ได้ให้คำแนะนำว่า ในกรณีที่ศาลปกครองได้มีคำพิพากษาหรือคำสั่งชี้ขาดคดีปกครองเสร็จเด็ดขาดแล้ว คู่กรณีหรือบุคคลภายนอกผู้มีส่วนได้เสียหรืออาจถูกกระทบจากผลแห่งคดีนั้นอาจมีคำขอให้ศาลปกครองพิจารณาพิพากษาคดีหรือมีคำสั่งชี้ขาดคดีปกครองนั้นใหม่ได้ ตามมาตรา 75 แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 ในกรณีดังต่อไปนี้ (1) ศาลปกครองฟังข้อเท็จจริงผิดพลาดหรือมีพยานหลักฐานใหม่ อันอาจทำให้ข้อเท็จจริงที่ฟังเป็นยุติแล้วนั้นเปลี่ยนแปลงไปในสาระสำคัญ  (2) คู่กรณีที่แท้จริงหรือบุคคลภายนอกนั้นมิได้เข้ามาในการดำเนินกระบวนพิจารณาคดีหรือได้เข้ามาแล้วแต่ถูกตัดโอกาสโดยไม่เป็นธรรมในการมีส่วนร่วมในการดำเนินกระบวนพิจารณา (3) มีข้อบกพร่องสำคัญในกระบวนพิจารณาพิพากษาที่ทำให้ผลของคดีไม่มีความยุติธรรม (4) คำพิพากษาหรือคำสั่งนั้นได้ทำขึ้นโดยอาศัยข้อเท็จจริงหรือข้อกฎหมายใด และต่อมาข้อเท็จจริงหรือข้อกฎหมายนั้นเปลี่ยนแปลงไปในสาระสำคัญซึ่งทำให้ผลแห่งคำพิพากษาหรือคำสั่งขัดกับกฎหมายที่ใช้บังคับอยู่ในขณะนั้น โดยการยื่นคำขอให้พิจารณาคดีใหม่ให้กระทำได้เฉพาะเมื่อคู่กรณีหรือบุคคลภายนอกไม่ทราบถึงเหตุนั้นในการพิจารณาคดีครั้งที่แล้วมา โดยมิใช่ความผิดของผู้นั้น และต้องกระทำภายในเก้าสิบวันนับแต่วันที่ผู้นั้นได้รู้หรือควรรู้ถึงเหตุซึ่งอาจขอให้พิจารณาพิพากษาหรือมีคำสั่งใหม่ได้ แต่ไม่เกินห้าปีนับแต่ศาลปกครองได้มีคำพิพากษาหรือคำสั่งชี้ขาด 
2025-01-17 08:54:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด,  สอบถามการอุทธรณ์คำพิพากษา,     แนะนำว่าคำพิพากษาของศาลปกครองชั้นต้น ให้อุทธรณ์ต่อศาลปกครองสูงสุด คำอุทธรณ์ให้ยื่นต่อศาลปกครองชั้นต้นภายใน ๓๐ วันนับแต่วันที่อ่านคำพิพากษา (ไม่อาจขยายเวลาได้) คำอุทธรณ์ให้ทำเป็นหนังสือระบุ (๑) ชื่อผู้อุทธรณ์และคู่กรณีในอุทธรณ์(๒) ข้อคัดค้านคำพิพากษาของศาลปกครองชั้นต้น (๓) คำขอของผู้อุทธรณ์	(๔) ลายมือชื่อผู้อุทธรณ์  พร้อมทั้งจัดทำสำเนามาตามจำนวนคู่กรณีในอุทธรณ์ด้วย ทั้งนี้ ตาม ข้อ ๑๐๐ ข้อ ๑๐๑ และข้อ ๑๐๒ ระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๓ 
2024-10-03 11:12:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ข้าราชการ/ลูกจ้าง ในหน่วยงานของรัฐ,ไม่ทราบ / ไม่แจ้ง,การศึกษา การศาสนา สังคม แรงงานและสวัสดิการสังคม,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, ขอความเห็นทางกฎหมาย",ผู้ขอคำปรึกษาเป็นอดีตพนักงานรายปีของวิทยาลัยเทคนิคได้รับความเดือดร้อนเสียหายจากการมีหนังสือเลิกจ้างโดยไม่มีระบุเหตุผล จึงขอคำปรึกษาว่าจะสามารถใช้สิทธิฟ้องคดีต่อศาลปกครองเพื่อขอให้กลับเข้าทำงานได้หรือไม่,วิทยาลัยเทคนิคสมุทรปราการเป็นหน่วยงาน สังกัดสำนักงานคณะกรรมการการอาชีวศึกษา กระทรวงศึกษาธิการ ผู้ขอคำปรึกษาทำสัญญากับสำนักงานคณะกรรมการการอาชีวศึกษาตำแหน่งพนักงานรายปี ปฏิบัติงานสนับสนุนทางด้านการศึกษา ถือเป็นสัญญาให้จัดทำบริการสาธารณะเป็นสัญญาทางทางปกครองตามนิยามที่กำหนดในพรบจัดตั้งศาลปกครองฯ เมื่อเห็นว่า ผู้อำนวยการวิทยาลัยฯใช้สิทธิเลิกจ้างโดไม่ถูกต้องตามข้อสัญญาหรือระเบียบข้อบังคับนั้นเป็นคดีพิพาทเกี่ยวกับสัญญาทางปกครองตามมาตรา 9 วรรคหนึ่ง (4) ผู้ขอคำปรึกษาจะต้องใช้สิทธิฟ้องคดีต่อศาลปกครองภายใน 5 ปีีนับแต่วันที่รู้ถึงเหตุแห่งการฟ้องคดีตามมาตรา 51 แห่งพ.ร.บ.จัดตั้งศาลปกครองฯซึ่งจะต้องมีการโต้แย้งสิทธิโดยการยื่นร้องทุกข์ตามระเบียบข้อบังคับจึงจะถือว่ามีการโต้แย้งสิทธิที่จะมีสิทธิฟ้องคดีค่อศาลปกครองตามมาตรา 42 วรรคหนึ่ง แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ
2024-10-03 13:35:00,โทรศัพท์สายด่วน 1355,ไม่ระบุ,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด,ขอสอบถามการนับระยะเวลาในการยื่นอุทธรณ์คำพิพากษา,"1. มาตรา 73 วรรคหนึ่งแห่งพ.ร.บ.จัดตั้งศาลปกครองฯบัญญัติว่า การคัดค้านคำพิพากษาหรือคำสั่งของศาลปกครองชั้นต้นนั้น ให้ยื่นอุทธรณ์ต่อศาลปกครองชั้นต้นที่มีคำพิพากษาหรือคำสั่งภายในกำหนดสามสิบวันนับแต่วันที่ได้มีคำพิพากษาหรือคำสั่ง ถ้ามิได้ยื่นอุทธรณ์ตามกำหนดเวลาดังกล่าว ให้ถือว่าคดีนั้นเป็นอันถึงที่สุด  ดังนั้นเมื่อศาลอ่านคำพิพากษาแล้ว หากคู่ความไม่เห็นด้วยกับคำพิพากษา จะต้องทำคำอุทธรณ์ยื่นต่อศาลปกครองสูงสุดโดยศาลปกครองชั้นต้นภายใน 30 วันนับแต่วันที่ได้มีอ่านคำพิพากษา
2. การนับระยะเวลาในกระบวนการพิจารณาคดีของพ.ร.บ.จัดตั้งศาลปกครองฯและระเบียบที่ประชุมใหญ่ฯว่าด้วยวิธีพิจารณาคดีปกครองฯนั้นไม่มีบทบัญญัติกำหนดไว้เป็นการเฉพาะ ศาลจึงนำหลักเกณฑ์การนับอายุความตามป.พ.พ. มาตรา ๑๙๓/๑๒ และมาตรา ๑๙๓/๑๓ ซึ่งเป็นหลักทั่วไปมาใช้กับการนับระยะเวลาด้วย กล่าวคือต้องอยู่ภายในบังคับของมาตรา ๑๙๓/๑ ถึงมาตรา ๑๙๓/๓ แห่งประมวลกฎหมาย ตัวอย่างเช่น การนับอายุความนั้นต้องเริ่มนับหนึ่งในวันรุ่งขึ้น ตามมาตรา ๑๙๓/๓ วรรคสองแห่งประมวลกฎหมายแพ่งและพาณิชย์และถ้าวันสุดท้ายแห่งการกำหนดระยะเวลาตรงกับวันหยุดทางการตามประกาศเป็นทางการหรือตามประเพณีก็ให้นับวันเริ่มทางการใหม่ต่อจากที่หยุดทำการนั้นเป็นวันสุดท้ายของระยะเวลาด้วย มาตรา ๑๙๓/๘ แห่งประมวลกฎหมายเดียวกันกำหนดหลักเกณฑ์ในการนับอายุความ"
2024-10-03 14:51:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,มาตรา 9 วรรค 1 (1) คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ กระทำการโดยไม่ชอบด้วยกฎหมาย,ขอความเห็นทางกฎหมาย,ผู้ขอคำปรึกษาเป็นเจ้าของที่ดินซึ่งเป็นเอกสารสิทธิ นส 3 ก ได้รับความเดือดร้อนเสียหายจากการที่เจ้าพนักงานที่ดินรังวัดออกเอกสารสิทธิไม่ตรงกับการทำประโยชน์ในที่ดินแท้จริง เนื่องจากผู้ขอคำปรึกษามาทราบว่าเอกสารสิทธินั้นออกไม่ถูกต้องตรงกับความเป็นจริงจากการที่ทางหลวงชนบทมาดำเนินการก่อสร้างแนวกั้นคลองกับที่ดินของผู้ขอคำปรึกษา จึงทำทให้ต้องมีการตรวจสอบข้อเท็จจริงเกิดขึ้น กรณีดังกล่าว หากจะต้องดำเนินการทำให้ที่ดินตรงกับความเป็นจริงจะต้องดำเนินการอย่างไร,กรณีนี้ผู้ขอคำปรึกษาจะต้องไปยื่นคำขอรังวัดเพื่อตรวจสอบแนวเขตเอกสารสิทธิที่ดิน นส ก 3 กับเจ้าพนักงานที่ดินจังหวัดนครราชสีมาอีกครั้ง หากเจ้าพนักงานที่ดินฯไม่ดำเนินการตามคำขอจะเป็นคดีพิพาทเกี่ยวกับการที่เจ้าหน้าที่ของรัฐละเลยการปฏิบัติหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติตามมาตรา 9 วรรคหนึ่ง (2) แห่งพร.บ.จัดตั้งศาลปกครองฯ ผู้ขอคำปรึกษาจะต้องยื่นฟ้องคดีต่อศาลปกครองภายใน 90 วันนับแต่วันที่รู้หรือควรรู้ถึงเหตุแห่งการฟ้องคดี หรือนับแต่วันที่พ้นกำหนดเก้าสิบวันนับแต่วันที่ผู้ฟ้องคดีได้มีหนังสือร้องขอต่อหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐเพื่อให้ปฏิบัติหน้าที่ตามที่กฎหมายกำหนดและไม่ได้รับหนังสือชี้แจงจากหน่วยงานทางปกครอง หรือเจ้าหน้าที่ของรัฐหรือได้รับแต่เป็นคำชี้แจงที่ผู้ฟ้องคดีเห็นว่าไม่มีเหตุผล แล้วแต่กรณี ตามมาตรา 49 แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ
